Texture,Perimeter,Smoothness,Concavity,ConcavePoints,FractalDimension
10.38,122.8,0.1184,0.3001,0.1471,0.07871
17.77,132.9,0.08474,0.0869,0.07017,0.05667
21.25,130.0,0.1096,0.1974,0.1279,0.05999
20.38,77.58,0.1425,0.2414,0.1052,0.09744
14.34,135.1,0.1003,0.198,0.1043,0.05883
15.7,82.57,0.1278,0.1578,0.08089,0.07613
19.98,119.6,0.09463,0.1127,0.074,0.05742
20.83,90.2,0.1189,0.09366,0.05985,0.07451
21.82,87.5,0.1273,0.1859,0.09353,0.07389
24.04,83.97,0.1186,0.2273,0.08543,0.08243
23.24,102.7,0.08206,0.03299,0.03323,0.05697
17.89,103.6,0.0971,0.09954,0.06606,0.06082
24.8,132.4,0.0974,0.2065,0.1118,0.078
23.95,103.7,0.08401,0.09938,0.05364,0.05338
22.61,93.6,0.1131,0.2128,0.08025,0.07682
27.54,96.73,0.1139,0.1639,0.07364,0.07077
20.13,94.74,0.09867,0.07395,0.05259,0.05922
20.68,108.1,0.117,0.1722,0.1028,0.07356
22.15,130.0,0.09831,0.1479,0.09498,0.05395
14.36,87.46,0.09779,0.06664,0.04781,0.05766
15.71,85.63,0.1075,0.04568,0.0311,0.06811
12.44,60.34,0.1024,0.02956,0.02076,0.06905
14.26,102.5,0.1073,0.2077,0.09756,0.07032
23.04,137.2,0.09428,0.1097,0.08632,0.05278
21.38,110.0,0.1121,0.1525,0.0917,0.0633
16.4,116.0,0.1186,0.2229,0.1401,0.07413
21.53,97.41,0.1054,0.1425,0.08783,0.06924
20.25,122.1,0.0944,0.149,0.07731,0.05699
25.27,102.4,0.1082,0.1683,0.08751,0.0654
15.05,115.0,0.09847,0.09875,0.07953,0.06149
25.11,124.8,0.1064,0.2319,0.1244,0.06197
18.7,77.93,0.1109,0.1218,0.05182,0.07799
23.98,112.8,0.1197,0.2417,0.1203,0.06382
26.47,127.9,0.09401,0.1657,0.07593,0.06261
17.88,107.0,0.104,0.1354,0.07752,0.06515
21.59,110.1,0.0961,0.1348,0.06018,0.05656
21.72,93.63,0.09823,0.1319,0.05598,0.06125
18.42,82.61,0.08983,0.02562,0.02923,0.05863
25.2,95.54,0.09387,0.02398,0.02899,0.05504
20.82,88.4,0.1016,0.1063,0.05439,0.06419
21.58,86.18,0.08162,0.0311,0.02031,0.05587
21.35,71.9,0.1227,0.1044,0.05669,0.0687
24.81,128.3,0.09081,0.2107,0.09961,0.06343
20.28,87.32,0.1041,0.09847,0.06158,0.06782
21.81,85.42,0.09714,0.08259,0.05252,0.06177
17.6,123.7,0.1099,0.1974,0.1009,0.06049
16.84,51.71,0.086,0.01588,0.005917,0.06503
18.66,85.98,0.1158,0.1226,0.0734,0.06777
14.63,78.04,0.1031,0.06592,0.02749,0.06043
22.3,86.91,0.08752,0.04751,0.03384,0.05718
21.6,74.72,0.08637,0.01657,0.01115,0.05888
16.34,87.21,0.07685,0.01857,0.01723,0.05953
18.24,75.71,0.08261,0.01972,0.01349,0.0611
18.7,120.3,0.1148,0.1772,0.106,0.0631
22.02,97.26,0.09056,0.05253,0.03334,0.05684
18.75,73.34,0.09524,0.03036,0.02278,0.05907
18.57,125.5,0.1053,0.1323,0.08994,0.05961
21.59,95.55,0.1137,0.1293,0.08123,0.06758
19.31,82.61,0.0806,0.000692,0.004167,0.05501
11.79,54.34,0.09752,0.02061,0.007799,0.07187
14.88,64.55,0.1134,0.01084,0.0129,0.0696
20.98,54.66,0.1243,0.03,0.009259,0.06757
22.15,96.42,0.1049,0.2135,0.08653,0.07292
13.86,59.2,0.07721,0.05988,0.0218,0.06963
23.84,82.69,0.1122,0.1128,0.06873,0.0659
23.94,97.4,0.1172,0.1267,0.09029,0.06654
21.01,60.11,0.1044,0.02172,0.01504,0.06899
19.04,71.8,0.08139,0.03709,0.0223,0.05667
17.33,58.79,0.1066,0.313,0.04375,0.08046
16.49,81.37,0.09831,0.03653,0.02864,0.05653
21.31,123.6,0.09009,0.108,0.07951,0.05461
14.64,58.79,0.09783,0.08606,0.02872,0.0898
24.52,114.2,0.1071,0.1692,0.07944,0.06487
15.79,90.43,0.1007,0.07789,0.05069,0.06566
16.52,79.19,0.09172,0.03372,0.02272,0.05914
19.65,104.1,0.09168,0.09769,0.06638,0.05391
10.94,87.91,0.1291,0.06877,0.06556,0.06641
16.15,120.2,0.1065,0.1684,0.108,0.06673
23.97,143.7,0.1286,0.3754,0.1604,0.08142
18.0,83.19,0.09934,0.03889,0.02315,0.05997
20.97,73.81,0.1102,0.04591,0.02233,0.07005
15.86,86.49,0.1078,0.1169,0.06987,0.06902
24.91,171.5,0.1063,0.3339,0.1845,0.06782
26.29,129.1,0.1215,0.1937,0.1469,0.07224
15.65,76.95,0.09723,0.04151,0.01863,0.05968
18.52,121.1,0.09874,0.1335,0.08795,0.06022
21.46,94.25,0.09444,0.1204,0.04938,0.05636
24.59,122.0,0.09029,0.1468,0.08271,0.05629
21.8,79.78,0.08772,0.06015,0.03745,0.06404
15.24,95.77,0.1132,0.09966,0.07064,0.06346
24.02,94.57,0.08974,0.03102,0.02957,0.05866
22.76,100.2,0.092,0.1122,0.07483,0.06097
14.76,84.74,0.07355,0.03261,0.02648,0.05318
18.3,86.6,0.1022,0.03974,0.0278,0.0571
19.83,100.3,0.1039,0.17,0.08815,0.06284
23.03,132.4,0.09078,0.1465,0.08683,0.05649
17.84,77.79,0.1045,0.0249,0.02941,0.06635
19.94,62.11,0.1024,0.006829,0.007937,0.0689
12.84,74.34,0.08983,0.04196,0.0335,0.06582
19.77,94.48,0.09752,0.09388,0.05839,0.0639
24.98,88.05,0.09488,0.08625,0.04489,0.05871
13.43,43.79,0.117,0.0,0.0,0.07818
20.52,77.22,0.08013,0.02383,0.0177,0.05677
19.4,63.95,0.1005,0.06154,0.03029,0.06322
19.29,67.41,0.09989,0.02995,0.01201,0.06481
15.56,87.21,0.1398,0.2071,0.09601,0.07692
18.33,75.17,0.1142,0.0707,0.03485,0.0652
18.54,79.01,0.08477,0.02643,0.01921,0.06066
19.67,152.8,0.1326,0.4264,0.1823,0.07039
21.26,72.48,0.08759,0.05133,0.01899,0.06529
16.99,62.5,0.1037,0.04334,0.01778,0.07065
20.76,82.15,0.09933,0.1065,0.06021,0.0707
19.65,97.83,0.07837,0.3003,0.07798,0.07769
20.19,68.64,0.1122,0.06476,0.03068,0.07782
15.83,55.84,0.115,0.04132,0.01924,0.07633
21.53,76.53,0.09768,0.03328,0.02008,0.06194
15.76,58.74,0.09462,0.09263,0.02308,0.07163
16.67,98.64,0.1162,0.169,0.08923,0.06768
22.91,105.7,0.1155,0.2133,0.09479,0.07331
20.01,114.2,0.08402,0.07293,0.05596,0.05025
10.82,73.34,0.09373,0.03512,0.02623,0.06113
17.12,121.4,0.1054,0.1457,0.08665,0.06213
20.2,166.2,0.1447,0.4268,0.2012,0.06877
10.89,94.28,0.1101,0.08842,0.05778,0.06402
16.39,86.1,0.07115,0.08092,0.028,0.05823
17.21,88.44,0.08785,0.0142,0.01141,0.0589
24.69,87.76,0.09258,0.05285,0.03085,0.0613
